identifier;name;familyName;givenName;country;group;gender;memberships;born_place;born_day;born_month;born_year;disability;relatives;educated_at;highest_degree;occupation
124806;david mcallister;McAllister;David;DE;PPE;MALE;AFET,DCAR,D-UK,DNAT,INTA,SEDE,D-US,DLAT;Berlin;12;1;1971;;;Leibniz University Hannover;secondary;politician,lawyer
197457;henrike hahn;Hahn;Henrike;DE;Verts/ALE;FEMALE;ITRE,D-US,D-CN,BUDG,ECON;Munchen;4;9;1970;;;University of Paris,University of Michigan,Wayne State University,Ludwig Maximilian University of Munich;;politician
197425;ralf seekatz;Seekatz;Ralf;DE;PPE;MALE;ECON,D-IN,DCAS,INTA,EMPL,D-RU;DERNBACH;10;11;1972;;;;phd;politician
124708;dita charanzová;Charanzová;Dita;CZ;Renew;FEMALE;IMCO,D-US,INTA,DMER,DLAT;Prague;30;4;1975;;;Prague University of Economics and Business;phd;official,politician,researcher,manager
204346;dominik tarczyński;Tarczyński;Dominik;PL;ECR;MALE;AFET,INTA,DACP,DCAB,IMCO,D-US;Lublin;27;3;1979;;;John Paul II Catholic University of Lublin;;politician,film director
239257;achille variati;Variati;Achille;IT;S&D;MALE;ENVI,TRAN,D-AL,AGRI,DSEE,DLAT;Vicenza;19;1;1953;;;University of Padua;;politician
125001;harald vilimsky;Vilimsky;Harald;AT;ID;MALE;AFET,D-US,LIBE;Vienna;22;7;1966;;;University of Vienna;;politician,media
96771;jarosław kalinowski;Kalinowski;Jarosław;PL;PPE;MALE;AGRI,D-RS,PECH,DSEE;Wyszków;12;4;1962;;;Warsaw University of Life Sciences;;politician,farmer
124877;jadwiga wiśniewska;Wiśniewska;Jadwiga;PL;ECR;FEMALE;DCAB,DACP,LIBE,ENVI,FEMM,D-CA;Myszków;2;7;1963;;;Jan Długosz University;;politician
197435;gabriele bischoff;Bischoff;Gabriele;DE;S&D;FEMALE;AFCO,EMPL,DMER,DANZ;Bad Wildungen;4;1;1961;;;;;official,politician,trade unionist,manager
120478;martina michels;Michels;Martina;DE;The Left;FEMALE;REGI,CULT,D-IL,DMED,DEPA,DSCA;Berlin;1;12;1955;;;Humboldt University of Berlin;university;official,politician
197398;pär holmgren;Holmgren;Pär;SE;Verts/ALE;MALE;ENVI,D-RU,TRAN,AGRI,D-US,D-CN;Gävle;24;10;1964;;;Uppsala University;phd;meteorologist,teacher,doctor,politician,writer
204414;margarita de la pisa carrión;de la Pisa Carrión;Margarita;ES;ECR;FEMALE;EMPL,FEMM,DAND,DLAT,ENVI,ITRE;Madrid;19;9;1975;;;Complutense University of Madrid,International University of La Rioja;;politician,doctor
197835;aušra seibutytė;Seibutytė;Aušra;LT;PPE;FEMALE;ECON,DSAS,BUDG,FEMM,FISC,D-IN;;4;6;1958;;;;;
197670;andreas schieder;Schieder;Andreas;AT;S&D;MALE;D-MK,AFET,D-UK,DSEE,TRAN,D-US;Vienna;16;4;1969;;Peter Schieder;University of Vienna;university;politician
96711;pascal canfin;Canfin;Pascal;FR;Renew;MALE;ENVI,D-MX,DLAT,ECON,DASE;Arras;22;8;1974;;;Newcastle University,Institut d'études politiques de Bordeaux;;teacher,politician,media
183793;angelo ciocca;Ciocca;Angelo;IT;ID;MALE;AGRI,D-TR,ITRE,DMAG;Pavia;28;6;1975;;;Università degli Studi Niccolò Cusano;;politician
193292;tilly metz;Metz;Tilly;LU;Verts/ALE;FEMALE;DCAM,SANT,ENVI,TRAN,DLAT,AGRI;Luxembourg;26;5;1967;;;Université catholique de Louvain;university;official,teacher,politician,manager
197828;manu pineda;Pineda;Manu;ES;The Left;MALE;DPAL,AFET,DMAS,DLAT,DROI,SEDE,D-CL;Málaga;2;9;1965;;;;;politician,trade unionist,activist
197459;pierrette herzberger-fofana;Herzberger-Fofana;Pierrette;DE;Verts/ALE;FEMALE;DEVE,DPAP,DACP,DAFR,DCAR,AFET,FEMM;Bamako;20;3;1949;;;Trier University,University of Erlangen–Nuremberg;;politician
197822;francesca donato;Donato;Francesca;IT;NI;FEMALE;PETI,DKOR,ITRE;Ancona;25;8;1969;;;University of Modena and Reggio Emilia;;politician
249285;lydie massard;Massard;Lydie;FR;Verts/ALE;FEMALE;ENVI,INTA;Saint- Brieuc;24;8;1978;;;;;
197547;irène tolleret;Tolleret;Irène;FR;Renew;FEMALE;REGI,D-JP,AGRI,FEMM,DMED;Béziers;17;8;1967;;;ESSEC Business School;;politician,farmer
197390;sara skyttedal;Skyttedal;Sara;SE;PPE;FEMALE;D-IQ,ITRE,LIBE,EMPL,SANT,DMAG;Tyresö;6;8;1986;;;Södertörn University,Stockholm University;;politician
134605;ramona strugariu;Strugariu;Ramona;RO;Renew;FEMALE;D-MD,LIBE,DEPA,AFET,CONT,PETI,D-TR;BIRLAD;6;8;1979;;;Alexandru Ioan Cuza University;university;politician,lawyer,researcher,manager
197785;eugenia rodríguez palop;Rodríguez Palop;Eugenia;ES;The Left;FEMALE;FEMM,AGRI,D-MX,D-CL,DLAT,EMPL;Llerena;9;3;1970;;;;;
38420;cristian-silviu buşoi;Buşoi;Cristian-Silviu;RO;PPE;MALE;ITRE,SANT,DASE,ECON,ENVI,DARP;Drobeta Turnu-Severin;1;3;1978;;;;phd;politician
183338;jakop g. dalunde;Dalunde;Jakop G.;SE;Verts/ALE;MALE;TRAN,AFET,ITRE,DPAL;;2;2;1984;;;;secondary;manager,engineer
197493;jaak madison;Madison;Jaak;EE;ID;MALE;AFET,AFCO,D-US,DCAM,DLAT,LIBE,DROI,SEDE,DACP,DAFR;Paide;22;4;1991;;;Q16410081,Tallinn School of Economics,Noarootsi Secondary School,Tallinn Old Town Adult Gymnasium,University of Tartu,Tallinn School of Service;university;politician,manager
197825;raffaele stancanelli;Stancanelli;Raffaele;IT;ECR;MALE;JURI,D-CN,PECH,DASE;Regalbuto;30;6;1950;;;University of Catania;;politician
197433;katarina barley;Barley;Katarina;DE;S&D;FEMALE;LIBE,D-CL,D-UK,D-IN,AFET;Köln;19;11;1968;;;University of Münster,University of Paris-Sud,University of Marburg;phd;politician,lawyer
197648;alexander bernhuber;Bernhuber;Alexander;AT;PPE;MALE;ENVI,PETI,DSCA,DEPA,AGRI,D-MD;St. Pölten;18;5;1992;;;University of Natural Resources and Life Sciences, Vienna;university;politician,farmer,manager
125093;kostas papadakis;PAPADAKIS;Kostas;GR;NI;MALE;AFET,DROI,D-TR,LIBE,D-AL;Athina;18;4;1975;;;;university;
197646;mircea-gheorghe hava;Hava;Mircea-Gheorghe;RO;PPE;MALE;D-CA,REGI,BUDG,D-CL;Oradea;26;12;1956;;;;;
204332;barry andrews;Andrews;Barry;IE;Renew;MALE;DEVE,INTA,D-UK,D-ZA,FEMM,D-TR;Dublin;16;5;1967;;David Andrews;University College Dublin;university;teacher,politician,lawyer
218347;thijs reuten;Reuten;Thijs;NL;S&D;MALE;AFET,D-MK,D-UK,LIBE,D-TR,D-RS,DARP,DLAT;Bussum;1;1;1974;;Geert Reuten,Rosa Reuten;;;politician
197826;matteo adinolfi;Adinolfi;Matteo;IT;ID;MALE;CONT,ITRE,REGI,DARP,ENVI,DACP,DCAB;Latina;24;12;1963;;;Sapienza University of Rome;university;politician,teacher
197391;heléne fritzon;Fritzon;Heléne;SE;S&D;FEMALE;ENVI,SANT,CULT,FEMM,D-ZA;Kristianstad;29;9;1960;;;;;official,politician
197738;lídia pereira;Pereira;Lídia;PT;PPE;FEMALE;ECON,FISC,D-CN,ENVI,D-US;Se Nova;26;7;1991;;;University of Coimbra,College of Europe;;politician,artist,designer
124873;angel dzhambazki;Dzhambazki;Angel;BG;ECR;MALE;JURI,D-MK,AFET,TRAN,AFCO,PETI,DSEE,D-US;Sofia;21;3;1979;;;Sofia University;;politician
197616;rosanna conte;Conte;Rosanna;IT;ID;FEMALE;PECH,DLAT,DEPA,ENVI,REGI,AGRI,D-RU,DAND;Portogruaro;17;4;1968;;;University of Bologna;;politician
236050;marie dauchy;Dauchy;Marie;FR;ID;FEMALE;ITRE,D-MX,AGRI,D-IL,DPAL;Calais;5;2;1987;;;;;employee,politician
28586;dimitrios papadimoulis;Papadimoulis;Dimitrios;GR;The Left;MALE;BUDG,ECON,D-US,REGI;Athina;21;3;1955;;;;university;manager,engineer
197657;tudor ciuhodaru;Ciuhodaru;Tudor;RO;NI;MALE;;Bacau;16;1;1969;;;;;politician,doctor
197415;niyazi kizilyürek;Kizilyürek;Niyazi;CY;The Left;MALE;CULT,D-CL,DPAL,REGI,D-CA,DLAT;Nicosia;7;12;1959;;;;phd;researcher,teacher,politician,consultant,manager
197422;christine schneider;Schneider;Christine;DE;PPE;FEMALE;ENVI,FEMM,D-ZA,AGRI,DPAP;Landau;5;6;1972;;;Berufsakademie Mosbach;secondary;politician
197894;lászló trócsányi;Trócsányi;László;HU;NI;MALE;AFCO,DMAS,TRAN,D-TR;Budapest;6;3;1956;;;University of Szeged,Eötvös Loránd University;phd;researcher,teacher,politician,media,lawyer,official,manager
197452;klemen grošelj;Grošelj;Klemen;SI;Renew;MALE;AFET,D-RS,ITRE,SEDE,D-ME,DNAT;Kranj;8;3;1976;;;University of Ljubljana;;politician,researcher
197682;hannes heide;Heide;Hannes;AT;S&D;MALE;CULT,DACP,DCAB,CONT,REGI,DPAP;Bad Ischl;17;10;1966;;;;secondary;politician,media,manager
197778;tom berendsen;Berendsen;Tom;NL;PPE;MALE;ITRE,REGI,DPAP,TRAN,DCAR,DEEA;Breda;11;4;1983;;;Tilburg University,Katholieke Universiteit Leuven;;politician
236053;marina mesure;Mesure;Marina;FR;The Left;FEMALE;ENVI,ITRE,DASE;Marseille;12;7;1989;;;;;politician
125021;agnes jongerius;Jongerius;Agnes;NL;S&D;FEMALE;EMPL,DASE,INTA,DPAP;Vleuten-De-Meern;4;11;1960;;;Utrecht University;university;politician,trade unionist,researcher
183916;alexandra geese;Geese;Alexandra;DE;Verts/ALE;FEMALE;BUDG,IMCO,D-IQ,D-CN,REGI;Bonn;1;7;1968;;;;;politician,translator
96653;katarína roth neveďalová;Roth Neveďalová;Katarína;SK;NI;FEMALE;AGRI;Nitra;10;11;1982;;;;;politician
197787;antonio maria rinaldi;Rinaldi;Antonio Maria;IT;ID;MALE;ECON,EMPL,AFCO,FISC,DKOR,CONT,IMCO,D-US,DLAT;Roma;27;2;1955;;;Sapienza University of Rome;university;researcher,teacher,politician,official,manager
197796;massimo casanova;Casanova;Massimo;IT;ID;MALE;TRAN,PECH,D-MK,DLAT,DACP,DPAC;Bologna;31;8;1970;;;;;politician,businessperson
96725;bas eickhout;Eickhout;Bas;NL;Verts/ALE;MALE;ENVI,ECON,D-UK,D-CN,CONT,D-US;Groesbeek;8;10;1976;;;Radboud University Nijmegen;;politician,researcher
204416;ilana cicurel;Cicurel;Ilana;FR;Renew;FEMALE;CONT,CULT,JURI,D-IL,EMPL,DMAG,DMED;Paris;8;2;1972;;Raymond Cicurel,Francine Cicurel;Harvard Law School,Sciences Po;phd;teacher,politician,media,lawyer,consultant,radio personality,manager
197447;irena joveva;Joveva;Irena;SI;Renew;FEMALE;SANT,D-MK,CULT,EMPL,ENVI,DPAL,DCAS,DACP,DAFR;Kranj;26;2;1989;;;University of Ljubljana;university;politician,media
188945;dennis radtke;Radtke;Dennis;DE;PPE;MALE;EMPL,DKOR,ITRE,D-JP;Bochum;29;4;1979;;;;university;politician,trade unionist
197786;susanna ceccardi;Ceccardi;Susanna;IT;ID;FEMALE;AFET,D-IL,DMED,LIBE,DROI,DARP,D-US;Pisa;19;3;1987;;;;;politician
125043;inma rodríguez-piñero;Rodríguez-Piñero;Inma;ES;S&D;FEMALE;D-CL,DCAR,INTA,D-UK,TRAN,D-JP,DLAT;Madrid;7;1;1958;;;;university;official,manager
243979;francesca peppucci;Peppucci;Francesca;IT;PPE;FEMALE;ENVI,DACP,DAFR,DROI,D-US;Todi;2;6;1993;;;;;politician
197473;christian doleschal;Doleschal;Christian;DE;PPE;MALE;ENVI,REGI,DCAS,IMCO,LIBE,AFCO,D-BR,DMER,DLAT;Kemnath;27;4;1988;;;;;politician,lawyer
28161;margrete auken;Auken;Margrete;DK;Verts/ALE;FEMALE;DPAL,ENVI,PETI,SANT,DMED;Aarhus;6;1;1945;;Gunnar Auken,Kirsten Auken;University of Copenhagen,Kildegård Privatskole;phd;politician,priest,theologian
