identifier;name;familyName;givenName;country;group;gender;memberships;born_place;born_day;born_month;born_year;disability;relatives;educated_at;highest_degree;occupation
197400;abir al-sahlani;Al-Sahlani;Abir;SE;Renew;FEMALE;DEVE,LIBE,FEMM;Basra;18.0;5.0;1976.0;;;Mid Sweden University;university;manager,politician
256999;rosa maría serrano sierra;Serrano Sierra;Rosa María;ES;S&D;FEMALE;TRAN,REGI;Zaragoza;11.0;11.0;1969.0;;;;;
125052;juan carlos girauta vidal;Girauta Vidal;Juan Carlos;ES;PfE;MALE;EMPL,JURI,CULT,AFCO;Barcelona;12.0;3.0;1961.0;;;;phd;consultant,lawyer,media,teacher
237465;matthias ecke;Ecke;Matthias;DE;S&D;MALE;ITRE,FISC,ECON,REGI;Meerane;12.0;4.0;1983.0;;;Leipzig University,Charles University;university;researcher,manager,politician,official
256957;mary khan;Khan;Mary;DE;ESN;FEMALE;LIBE;Frankfurt am Main;25.0;6.0;1994.0;;;;;
220871;rihards kols;Kols;Rihards;LV;ECR;MALE;AFET,INTA,ITRE;Riga;16.0;12.0;1984.0;;;;;
197533;manon aubry;Aubry;Manon;FR;The Left;FEMALE;INTA,ECON,FISC;Frejus;22.0;12.0;1989.0;;Bruno Aubry,Catherine Poggi;Columbia University,Sciences Po,University of Sydney;university;athlete,activist,politician,teacher
91636;marit maij;Maij;Marit;NL;S&D;FEMALE;EMPL,DEVE,CONT;Apeldoorn;16.0;1.0;1972.0;;;;;
197552;veronika vrecionová;Vrecionová;Veronika;CZ;ECR;FEMALE;AGRI,LIBE;České Budějovice;8.0;9.0;1965.0;;;Prague University of Economics and Business;;politician
257021;diego solier;SOLIER;Diego;ES;NI;MALE;ITRE,ECON;Valencia;26.0;4.0;1980.0;;;;;
24922;pascal arimont;Arimont;Pascal;BE;PPE;MALE;EMPL,ENVI,REGI;Malmedy;25.0;9.0;1974.0;;;Université catholique de Louvain;university;lawyer,politician
256833;lena schilling;Schilling;Lena;AT;Verts/ALE;FEMALE;ENVI,TRAN;Vienna;8.0;1.0;2001.0;;;;;
197475;christine anderson;Anderson;Christine;DE;ESN;FEMALE;ENVI,SANT,FEMM;Eschwege;29.0;7.0;1968.0;;;;;politician
257160;marco tarquinio;Tarquinio;Marco;IT;S&D;MALE;DEVE,DROI,AFET,LIBE;FOLIGNO;16.0;3.0;1958.0;;;;;
257007;erik kaliňák;Kaliňák;Erik;SK;NI;MALE;LIBE,PETI;Bratislava;9.0;9.0;1991.0;;;;;
257457;zsuzsanna borvendég;Borvendég;Zsuzsanna;HU;ESN;FEMALE;CULT,REGI;Tatabanya;4.0;11.0;1974.0;;;;;
96812;juan fernando lópez aguilar;López Aguilar;Juan Fernando;ES;S&D;MALE;LIBE,AFCO,DEVE;Las Palmas de Gran Canaria;10.0;6.0;1961.0;;;Complutense University of Madrid,The Fletcher School of Law and Diplomacy,Tufts University,University of Granada,University of Bologna;phd;researcher,teacher,caricaturist,lawyer,politician
257057;joão cotrim de figueiredo;Cotrim De Figueiredo;João;PT;Renew;MALE;ITRE,INTA;Lisbon;24.0;6.0;1961.0;;;;;
197470;saskia bricmont;Bricmont;Saskia;BE;Verts/ALE;FEMALE;LIBE,INTA,IMCO;Tournai;16.0;3.0;1985.0;;;Institut d'études européennes,Université Libre de Bruxelles,Free University of Brussels;;politician
256917;majdouline sbai;Sbai;Majdouline;FR;Verts/ALE;FEMALE;INTA,ENVI,SANT;;;;;;;;;
22858;fabienne keller;Keller;Fabienne;FR;Renew;FEMALE;BUDG,LIBE;Sélestat;20.0;10.0;1959.0;;;University of California, Berkeley,Lycée Kléber,École polytechnique,French National School of Forestry;university;manager,politician,banker,official
198176;roman haider;Haider;Roman;AT;PfE;MALE;ENVI,TRAN;Grieskirchen;13.0;4.0;1967.0;;;Johannes Kepler University Linz;;politician
256979;oliver schenk;Schenk;Oliver;DE;PPE;MALE;ENVI,SANT,ITRE,LIBE;Dachau;14.0;8.0;1968.0;;;;;
257018;branislav ondruš;Ondruš;Branislav;SK;NI;MALE;EMPL,INTA;Levoča;28.0;3.0;1973.0;;;;;
257112;vlad vasile-voiculescu;Vasile-Voiculescu;Vlad;RO;Renew;MALE;SANT,CONT,ECON,ENVI;Pucioasa;6.0;9.0;1983.0;;;;;
197843;andrius kubilius;Kubilius;Andrius;LT;PPE;MALE;AFET,DROI,AFCO;Lietuva;8.0;12.0;1956.0;;Vytautas Kubilius,Janina Žėkaitė–Kubilienė;Vilnius University;;researcher,politician
28150;kinga gál;Gál;Kinga;HU;PfE;FEMALE;AFET,LIBE;Cluj-Napoca;6.0;9.0;1970.0;;;Eötvös Loránd University;phd;lawyer,politician,official
197662;vangelis meimarakis;Meimarakis;Vangelis;GR;PPE;MALE;AFET,SEDE;ATHINA;14.0;12.0;1953.0;;Ioannis Meimarakis;National and Kapodistrian University of Athens,Panteion University;;lawyer,politician
