id;type;officialFamilyName;officialGivenName;identifier;name;familyName;givenName;sortLabel;country;group
person/257018;Person;;;257018;Branislav ONDRUŠ;Ondruš;Branislav;ONDRUSB;SK;NI
person/257112;Person;;;257112;Vlad VASILE-VOICULESCU;Vasile-Voiculescu;Vlad;VASILEVOICULESCUV;RO;Renew
person/197843;Person;;;197843;Andrius KUBILIUS;Kubilius;Andrius;KUBILIUS;LT;PPE
person/28150;Person;;;28150;Kinga GÁL;Gál;Kinga;GAL;HU;PfE
person/197662;Person;Μεϊμαράκης;Βαγγέλης;197662;Vangelis MEIMARAKIS;Meimarakis;Vangelis;MEIMARAKIS;GR;PPE
person/256884;Person;;;256884;Kris VAN DIJCK;Van Dijck;Kris;VANDIJCKK;BE;ECR
person/197842;Person;Йончева;Елена;197842;Elena YONCHEVA;Yoncheva;Elena;YONCHEVA;BG;Renew
person/256908;Person;;;256908;François KALFON;Kalfon;François;KALFONF;FR;S&D
person/256852;Person;;;256852;Nikola BARTŮŠEK;Bartůšek;Nikola;BARTUSEKN;CZ;PfE
person/28390;Person;;;28390;Pilar DEL CASTILLO VERA;del Castillo Vera;Pilar;CASTILLOVERA;ES;PPE
person/58766;Person;;;58766;Nicolae ŞTEFĂNUȚĂ;Ştefănuță;Nicolae;STEFANUTA;RO;Verts/ALE
person/257015;Person;;;257015;Jaume ASENS LLODRÀ;Asens Llodrà;Jaume;ASENSLLODRAJ;ES;Verts/ALE
person/190713;Person;;;190713;Lukas MANDL;Mandl;Lukas;MANDL;AT;PPE
person/197449;Person;;;197449;Michael BLOSS;Bloss;Michael;BLOSS;DE;Verts/ALE
person/257012;Person;;;257012;Estrella GALÁN;Galán;Estrella;GALANPEREZE;ES;The Left
person/197528;Person;;;197528;Ondřej KNOTEK;Knotek;Ondřej;KNOTEK;CZ;PfE
person/257169;Person;;;257169;Annalisa CORRADO;Corrado;Annalisa;CORRADOA;IT;S&D
person/197403;Person;;;197403;Alex AGIUS SALIBA;Agius Saliba;Alex;AGIUSSALIBA;MT;S&D
person/197845;Person;Пенкова;Цветелина;197845;Tsvetelina PENKOVA;Penkova;Tsvetelina;PENKOVA;BG;S&D
person/197537;Person;;;197537;Alexandr VONDRA;Vondra;Alexandr;VONDRA;CZ;ECR
person/257087;Person;;;257087;Adnan DIBRANI;Dibrani;Adnan;DIBRANIA;SE;S&D
person/197655;Person;;;197655;Cristian TERHEŞ;Terheş;Cristian;TERHES;RO;ECR
